REG;DEP;DEPCOM;DCIRIS;AN;TYPEQU;CANT;INT;RPIC;CL_PELEM;CL_PGE;EP;SECT;NB_EQUIP
84;01;01053;01053_0301;2018;C104;1;X;0;1;X;0;PU;1
84;01;01053;01053_0302;2018;C104;1;X;0;1;X;0;PU;2
84;01;01053;01053_0401;2018;C104;1;X;0;1;X;0;PU;1
84;01;01053;01053_0502;2018;C104;1;X;0;0;X;0;PU;2
84;01;01053;01053_0503;2018;C104;1;X;0;1;X;0;PU;1
84;01;01053;01053_0601;2018;C104;1;X;0;1;X;0;PU;1
84;01;01053;01053_0602;2018;C104;1;X;0;1;X;0;PU;2
84;01;01053;01053_0603;2018;C104;1;X;0;1;X;0;PU;1
84;01;01053;01053_0701;2018;C104;1;X;0;1;X;0;PU;1
84;01;01053;01053_0101;2018;C201;1;1;X;X;X;0;PR;1
84;01;01053;01053_0102;2018;C201;1;0;X;X;X;0;PU;1
84;01;01053;01053_0103;2018;C201;1;1;X;X;X;0;PR;1
84;01;01053;01053_0301;2018;C201;1;0;X;X;X;0;PR;1
84;01;01053;01053_0302;2018;C201;1;0;X;X;X;0;PU;1
84;01;01053;01053_0502;2018;C201;1;0;X;X;X;0;PU;1
84;01;01053;01053_0503;2018;C201;1;0;X;X;X;0;PU;1
84;01;01053;01053_0103;2018;C301;1;1;X;X;1;0;PU;1
84;01;01053;01053_0301;2018;C301;1;1;X;X;0;0;PR;1
84;01;01053;01053_0302;2018;C301;1;1;X;X;0;0;PU;1
84;01;01053;01053_0302;2018;C301;1;1;X;X;1;0;PU;1
84;01;01053;01053_0103;2018;C302;1;1;X;X;0;0;PR;1
84;01;01053;01053_0301;2018;C302;0;0;X;X;0;0;PR;1
84;01;01053;01053_0301;2018;C302;1;1;X;X;0;0;PU;1
84;01;01053;01053_0502;2018;C302;1;1;X;X;0;0;PU;1
84;01;01053;01053_0701;2018;C303;X;1;X;X;0;X;PU;1
84;01;01053;01053_0302;2018;C305;1;1;X;X;X;X;PU;1
84;01;01053;01053_0203;2018;C402;X;X;X;X;X;X;PR;2
84;01;01053;01053_0402;2018;C402;X;X;X;X;X;X;PU;1
84;01;01053;01053_0502;2018;C403;X;X;X;X;X;X;PR;2
84;01;01053;01053_0103;2018;C501;X;X;X;X;X;X;PU;3
84;01;01053;01053_0201;2018;C501;X;X;X;X;X;X;PU;1
84;01;01053;01053_0103;2018;C502;X;X;X;X;X;X;PU;1
84;01;01053;01053_0301;2018;C502;X;X;X;X;X;X;PU;1
84;01;01053;01053_0502;2018;C503;X;X;X;X;X;X;PR;1
84;01;01053;01053_0401;2018;C601;X;X;X;X;X;X;PR;1
84;01;01053;01053_0302;2018;C602;X;X;X;X;X;X;PU;1
84;01;01053;01053_0701;2018;C603;X;X;X;X;X;X;PU;1
84;01;01053;01053_0701;2018;C605;X;1;X;X;X;X;PU;1
84;01;01053;01053_0401;2018;C609;X;X;X;X;X;X;PR;1
84;01;01053;01053_0301;2018;C701;X;X;X;X;X;X;PU;1
84;01;01054;01054;2018;C105;0;X;X;1;X;0;PU;1
84;01;01057;01057;2018;C105;0;X;X;0;X;0;PU;1
84;01;01058;01058;2018;C104;0;X;0;1;X;0;PU;1
84;01;01059;01059;2018;C102;0;X;X;X;X;0;PU;1
84;01;01060;01060;2018;C104;0;X;0;1;X;0;PU;1
84;01;01061;01061;2018;C104;0;X;0;1;X;0;PU;1
84;01;01062;01062;2018;C105;0;X;X;0;X;0;PU;1
84;01;01063;01063;2018;C104;1;X;0;1;X;0;PU;1
84;01;01064;01064;2018;C104;0;X;0;1;X;0;PU;1
84;01;01065;01065;2018;C104;1;X;0;1;X;0;PU;1
84;01;01068;01068;2018;C104;0;X;0;1;X;0;PU;1
84;01;01069;01069;2018;C105;1;X;X;1;X;0;PU;1
84;01;01071;01071;2018;C101;1;X;0;X;X;0;PU;1
84;01;01071;01071;2018;C104;1;X;0;0;X;0;PU;1
84;01;01071;01071;2018;C301;1;0;X;X;0;0;PR;1
84;01;01071;01071;2018;C305;1;1;X;X;X;X;PR;1
84;01;01072;01072;2018;C101;1;X;0;X;X;0;PU;1
84;01;01072;01072;2018;C104;1;X;0;0;X;0;PU;1
84;01;01072;01072;2018;C201;1;0;X;X;X;0;PU;1
84;01;01073;01073;2018;C104;0;X;0;1;X;0;PU;1
84;01;01074;01074;2018;C104;1;X;0;1;X;0;PU;1
84;01;01075;01075;2018;C104;1;X;0;1;X;0;PU;1
84;01;01078;01078;2018;C104;0;X;0;1;X;0;PU;1
84;01;01079;01079;2018;C104;0;X;1;1;X;0;PU;1
84;01;01079;01079;2018;C104;1;X;0;1;X;0;PR;1
84;01;01080;01080;2018;C104;0;X;0;0;X;0;PU;1
84;01;01080;01080;2018;C104;0;X;0;1;X;0;PU;1
84;01;01081;01081;2018;C104;0;X;0;1;X;0;PU;1
84;01;01082;01082;2018;C104;0;X;0;1;X;0;PU;1
84;01;01083;01083;2018;C104;1;X;0;1;X;0;PU;1
84;01;01084;01084;2018;C105;1;X;X;0;X;0;PU;1
84;01;01087;01087;2018;C105;0;X;X;0;X;0;PU;1
84;01;01088;01088;2018;C104;0;X;0;1;X;0;PU;1
84;01;01089;01089;2018;C104;;X;0;0;X;0;PR;1
84;01;01089;01089;2018;C104;0;X;0;1;X;0;PU;1
84;01;01090;01090;2018;C105;1;X;X;0;X;0;PU;1
84;01;01091;01091;2018;C104;1;X;0;1;X;0;PU;2
84;01;01092;01092;2018;C104;0;X;0;1;X;0;PU;1
84;01;01092;01092;2018;C609;X;X;X;X;X;X;PR;1
84;01;01093;01093;2018;C101;1;X;0;X;X;0;PU;1
84;01;01093;01093;2018;C104;1;X;0;0;X;0;PU;1
84;01;01093;01093;2018;C104;1;X;0;1;X;0;PR;1
84;01;01093;01093;2018;C201;1;0;X;X;X;0;PR;1
84;01;01093;01093;2018;C201;1;0;X;X;X;0;PU;1
84;01;01093;01093;2018;C302;1;1;X;X;0;0;PU;1
84;01;01094;01094;2018;C105;1;X;X;0;X;0;PU;1
84;01;01095;01095;2018;C104;1;X;0;1;X;0;PU;1
84;01;01096;01096;2018;C105;1;X;X;1;X;0;PU;1
84;01;01098;01098;2018;C104;0;X;0;1;X;0;PU;1
84;01;01099;01099;2018;C104;0;X;0;1;X;0;PU;1
84;01;01102;01102;2018;C104;1;X;0;1;X;0;PU;1
84;01;01103;01103;2018;C104;0;X;0;1;X;0;PU;1
84;01;01103;01103;2018;C104;1;X;0;1;X;0;PR;1
84;01;01104;01104;2018;C105;0;X;X;1;X;0;PU;1
84;01;01105;01105;2018;C104;1;X;0;1;X;0;PU;1
84;01;01108;01108;2018;C104;1;X;0;1;X;0;PU;1
84;01;01108;01108;2018;C201;1;0;X;X;X;0;PU;1
84;01;01109;01109;2018;C104;0;X;0;1;X;0;PU;1
84;01;01112;01112;2018;C104;0;X;0;1;X;0;PU;1
84;01;01113;01113;2018;C104;1;X;0;1;X;0;PU;1
84;01;01114;01114;2018;C104;0;X;0;1;X;0;PU;1
84;01;01115;01115;2018;C105;1;X;X;1;X;0;PU;1
84;01;01116;01116;2018;C104;0;X;0;1;X;0;PU;1
84;01;01118;01118;2018;C104;0;X;0;1;X;0;PU;1
84;01;01122;01122;2018;C104;1;X;0;1;X;0;PU;1
84;01;01122;01122;2018;C302;0;1;X;X;0;0;PR;1
84;01;01122;01122;2018;C601;X;X;X;X;X;X;PR;1
84;01;01123;01123;2018;C104;1;X;0;1;X;0;PU;1
84;01;01124;01124;2018;C104;1;X;0;1;X;0;PU;1
84;01;01125;01125;2018;C104;1;X;0;1;X;0;PU;1
84;01;01130;01130;2018;C104;1;X;0;1;X;0;PU;1
84;01;01133;01133;2018;C104;0;X;0;0;X;0;PU;1
84;01;01134;01134;2018;C104;1;X;0;1;X;0;PU;1
84;01;01135;01135;2018;C104;0;X;0;1;X;0;PU;1
84;01;01136;01136;2018;C104;1;X;0;1;X;0;PU;1
84;01;01138;01138;2018;C101;0;X;0;X;X;0;PU;1
84;01;01138;01138;2018;C104;1;X;0;0;X;0;PU;1
84;01;01138;01138;2018;C201;1;0;X;X;X;0;PU;1
84;01;01139;01139;2018;C105;1;X;X;1;X;0;PU;1
84;01;01140;01140;2018;C105;1;X;X;0;X;0;PU;1
84;01;01142;01142;2018;C101;1;X;0;X;X;0;PU;1
84;01;01142;01142;2018;C104;1;X;0;0;X;0;PU;1
84;01;01142;01142;2018;C104;1;X;0;1;X;0;PR;1
84;01;01142;01142;2018;C201;1;0;X;X;X;0;PR;1
84;01;01142;01142;2018;C201;1;0;X;X;X;0;PU;1
84;01;01143;01143_0101;2018;C101;;X;0;X;X;0;PR;1
84;01;01143;01143_0101;2018;C101;0;X;0;X;X;0;PU;1
84;01;01143;01143_0101;2018;C104;0;X;0;0;X;0;PU;1
84;01;01143;01143_0101;2018;C104;1;X;0;1;X;0;PU;1
84;01;01143;01143_0103;2018;C104;1;X;0;1;X;0;PU;1
84;01;01143;01143_0103;2018;C201;1;0;X;X;X;0;PU;1
84;01;01145;01145;2018;C104;1;X;0;1;X;0;PU;1
84;01;01147;01147;2018;C105;1;X;X;1;X;0;PU;1
84;01;01148;01148;2018;C101;0;X;0;X;X;1;PU;1
84;01;01148;01148;2018;C104;0;X;0;0;X;1;PU;1
84;01;01149;01149;2018;C104;0;X;0;1;X;0;PU;1
84;01;01150;01150;2018;C104;0;X;0;0;X;0;PU;1
84;01;01151;01151;2018;C104;1;X;0;1;X;0;PU;1
84;01;01152;01152;2018;C104;0;X;1;1;X;0;PU;1
84;01;01153;01153;2018;C104;0;X;0;1;X;0;PU;1
84;01;01154;01154;2018;C104;1;X;0;1;X;0;PU;1
84;01;01155;01155;2018;C105;0;X;X;0;X;0;PU;1
84;01;01156;01156;2018;C105;0;X;X;0;X;0;PU;1
84;01;01157;01157;2018;C101;1;X;0;X;X;0;PU;1
84;01;01157;01157;2018;C104;1;X;0;0;X;0;PU;1
84;01;01158;01158;2018;C104;0;X;0;1;X;0;PU;1
84;01;01159;01159;2018;C104;1;X;0;1;X;0;PR;1
84;01;01159;01159;2018;C104;1;X;0;1;X;0;PU;1
84;01;01159;01159;2018;C201;1;0;X;X;X;0;PR;1
84;01;01160;01160_0102;2018;C101;1;X;0;X;X;0;PU;1
84;01;01160;01160_0103;2018;C101;1;X;0;X;X;0;PU;1
84;01;01160;01160_0101;2018;C104;1;X;0;1;X;0;PR;1
84;01;01160;01160_0103;2018;C104;;X;0;1;X;0;PR;1
84;01;01160;01160_0103;2018;C104;1;X;0;0;X;0;PU;2
84;01;01160;01160_0103;2018;C201;1;0;X;X;X;0;PU;1
84;01;01160;01160_0103;2018;C301;1;1;X;X;0;0;PU;1
84;01;01160;01160_0103;2018;C305;0;0;X;X;X;X;PU;1
84;01;01163;01163;2018;C104;1;X;0;1;X;0;PU;1
84;01;01165;01165;2018;C104;1;X;0;1;X;0;PU;1
84;01;01166;01166;2018;C104;1;X;0;1;X;0;PU;1
84;01;01167;01167;2018;C104;1;X;0;1;X;0;PU;1
84;01;01169;01169;2018;C105;1;X;X;0;X;0;PU;1
84;01;01170;01170;2018;C104;0;X;0;1;X;0;PU;1
84;01;01173;01173_0101;2018;C101;1;X;0;X;X;0;PU;1
84;01;01173;01173_0102;2018;C101;1;X;0;X;X;0;PU;1
84;01;01173;01173_0103;2018;C101;0;X;0;X;X;0;PU;1
84;01;01173;01173_0101;2018;C104;0;X;0;0;X;0;PU;1
84;01;01173;01173_0101;2018;C104;1;X;0;0;X;0;PU;1
84;01;01173;01173_0101;2018;C104;1;X;0;1;X;0;PR;1
84;01;01173;01173_0102;2018;C104;0;X;0;0;X;0;PR;1
84;01;01173;01173_0102;2018;C104;1;X;0;0;X;0;PU;1
84;01;01173;01173_0101;2018;C201;1;0;X;X;X;0;PR;1
84;01;01173;01173_0101;2018;C201;1;0;X;X;X;0;PU;1
84;01;01173;01173_0102;2018;C201;;;X;X;X;0;PR;1
84;01;01175;01175;2018;C104;1;X;0;1;X;0;PU;1
84;01;01179;01179;2018;C104;1;X;0;1;X;0;PR;1
84;01;01179;01179;2018;C104;1;X;0;1;X;0;PU;1
84;01;01180;01180;2018;C104;0;X;0;1;X;0;PR;1
84;01;01181;01181;2018;C104;0;X;0;1;X;0;PU;1
84;01;01183;01183;2018;C104;1;X;0;1;X;0;PR;1
84;01;01183;01183;2018;C105;1;X;X;1;X;0;PU;1
84;01;01184;01184;2018;C105;1;X;X;0;X;0;PU;1
84;01;01185;01185;2018;C101;0;X;0;X;X;0;PU;1
84;01;01185;01185;2018;C104;1;X;0;0;X;0;PU;1
84;01;01185;01185;2018;C201;1;0;X;X;X;0;PU;1
84;01;01185;01185;2018;C402;X;X;X;X;X;X;PU;1
84;01;01185;01185;2018;C601;X;X;X;X;X;X;PR;1
84;01;01187;01187;2018;C104;0;X;1;1;X;0;PU;1
84;01;01188;01188;2018;C104;1;X;0;1;X;0;PU;1
84;01;01189;01189;2018;C104;0;X;0;1;X;0;PU;1
84;01;01191;01191;2018;C105;0;X;X;0;X;0;PU;1
84;01;01192;01192;2018;C104;0;X;0;1;X;0;PU;1
84;01;01194;01194_0101;2018;C101;1;X;0;X;X;0;PU;1
84;01;01194;01194_0101;2018;C104;1;X;0;0;X;0;PU;1
84;01;01194;01194_0102;2018;C104;1;X;0;1;X;0;PU;1
84;01;01194;01194_0101;2018;C201;1;0;X;X;X;0;PU;1
84;01;01195;01195;2018;C104;1;X;0;1;X;0;PU;1
84;01;01196;01196;2018;C104;1;X;0;1;X;0;PU;1
84;01;01197;01197;2018;C104;1;X;0;0;X;0;PU;1
84;01;01198;01198;2018;C105;0;X;X;0;X;0;PU;1
84;01;01199;01199;2018;C104;1;X;0;1;X;0;PR;1
84;01;01199;01199;2018;C104;1;X;0;1;X;0;PU;1
84;01;01200;01200;2018;C104;0;X;0;0;X;0;PU;1
84;01;01202;01202_0101;2018;C101;1;X;0;X;X;0;PU;1
84;01;01202;01202_0102;2018;C101;1;X;0;X;X;0;PU;2
84;01;01202;01202_0101;2018;C104;1;X;0;0;X;0;PU;2
84;01;01202;01202_0102;2018;C104;0;X;0;1;X;0;PR;1
84;01;01202;01202_0102;2018;C201;1;0;X;X;X;0;PU;1
84;01;01203;01203;2018;C104;1;X;0;1;X;0;PU;1
84;01;01204;01204;2018;C104;1;X;0;1;X;0;PU;1
84;01;01205;01205;2018;C104;0;X;0;1;X;0;PU;1
84;01;01206;01206;2018;C102;0;X;X;X;X;0;PU;1
84;01;01209;01209;2018;C104;0;X;0;1;X;0;PU;1
84;01;01210;01210;2018;C105;0;X;X;0;X;0;PU;1
84;01;01211;01211;2018;C104;1;X;0;1;X;0;PU;1
84;01;01212;01212;2018;C102;1;X;X;X;X;0;PU;1
84;01;01213;01213;2018;C104;0;X;0;1;X;0;PU;1
84;01;01213;01213;2018;C201;1;0;X;X;X;0;PU;1
84;01;01216;01216;2018;C104;0;X;0;1;X;0;PU;1
84;01;01219;01219;2018;C104;0;X;0;0;X;0;PU;1
84;01;01224;01224;2018;C101;0;X;0;X;X;0;PU;1
84;01;01224;01224;2018;C104;0;X;0;0;X;0;PU;1
84;01;01228;01228;2018;C104;1;X;0;1;X;0;PU;1
84;01;01229;01229;2018;C104;1;X;0;1;X;0;PU;1
84;01;01230;01230;2018;C105;1;X;X;0;X;0;PU;1
84;01;01231;01231;2018;C104;1;X;0;1;X;0;PR;1
84;01;01231;01231;2018;C104;1;X;0;1;X;0;PU;1
84;01;01232;01232;2018;C104;1;X;0;1;X;0;PR;1
84;01;01232;01232;2018;C104;1;X;0;1;X;0;PU;1
84;01;01232;01232;2018;C201;1;0;X;X;X;0;PR;1
84;01;01235;01235;2018;C104;1;X;0;1;X;0;PR;1
84;01;01235;01235;2018;C104;1;X;0;1;X;0;PU;1
84;01;01235;01235;2018;C201;1;1;X;X;X;0;PR;1
84;01;01236;01236;2018;C105;1;X;X;1;X;0;PU;1
84;01;01237;01237;2018;C101;0;X;0;X;X;0;PU;1
84;01;01237;01237;2018;C104;0;X;0;0;X;0;PU;1
84;01;01238;01238;2018;C104;0;X;0;1;X;0;PU;1
84;01;01239;01239;2018;C104;0;X;0;1;X;0;PU;1
84;01;01240;01240;2018;C104;1;X;0;1;X;0;PU;1
84;01;01241;01241;2018;C104;1;X;0;1;X;0;PU;1
84;01;01243;01243;2018;C104;1;X;0;1;X;0;PU;1
84;01;01244;01244_0101;2018;C101;1;X;0;X;X;0;PU;2
84;01;01244;01244_0103;2018;C101;1;X;0;X;X;0;PU;1
84;01;01244;01244_0101;2018;C104;1;X;0;0;X;0;PR;1
84;01;01244;01244_0101;2018;C104;1;X;0;0;X;0;PU;1
84;01;01244;01244_0101;2018;C104;1;X;0;1;X;0;PR;1
84;01;01244;01244_0102;2018;C104;1;X;0;0;X;0;PU;1
84;01;01244;01244_0103;2018;C104;1;X;0;0;X;0;PU;1
84;01;01244;01244_0101;2018;C201;1;0;X;X;X;0;PU;1
84;01;01245;01245;2018;C105;1;X;X;1;X;0;PU;1
84;01;01246;01246;2018;C101;1;X;0;X;X;0;PU;1
84;01;01246;01246;2018;C104;1;X;0;0;X;0;PU;1
84;01;01247;01247;2018;C104;0;X;0;0;X;0;PU;1
84;01;01248;01248;2018;C104;1;X;0;1;X;0;PU;1
84;01;01249;01249_0102;2018;C101;1;X;0;X;X;0;PU;1
84;01;01249;01249_0101;2018;C104;1;X;0;1;X;0;PU;1
84;01;01249;01249_0102;2018;C104;1;X;0;0;X;0;PU;1
84;01;01249;01249_0102;2018;C104;1;X;0;1;X;0;PR;1
84;01;01249;01249_0103;2018;C104;0;X;0;1;X;0;PU;1
84;01;01249;01249_0103;2018;C104;1;X;0;1;X;0;PU;1
84;01;01249;01249_0102;2018;C201;1;0;X;X;X;0;PR;1
84;01;01249;01249_0102;2018;C201;1;0;X;X;X;0;PU;1
84;01;01249;01249_0102;2018;C301;1;0;X;X;0;0;PR;1
84;01;01249;01249_0102;2018;C302;1;0;X;X;0;0;PR;1
84;01;01250;01250;2018;C104;1;X;0;1;X;0;PU;1
84;01;01250;01250;2018;C303;X;1;X;X;0;X;PU;1
84;01;01250;01250;2018;C605;X;;X;X;X;X;PU;1
84;01;01252;01252;2018;C105;1;X;X;1;X;0;PU;1
84;01;01254;01254;2018;C104;1;X;0;1;X;0;PU;1
84;01;01255;01255;2018;C104;0;X;0;1;X;0;PU;1
84;01;01257;01257;2018;C104;0;X;0;1;X;0;PU;1
84;01;01258;01258;2018;C104;1;X;0;1;X;0;PU;1
84;01;01258;01258;2018;C201;1;0;X;X;X;0;PU;1
84;01;01259;01259;2018;C105;1;X;X;0;X;0;PU;1
84;01;01260;01260;2018;C105;1;X;X;0;X;0;PU;1
84;01;01261;01261;2018;C104;0;X;0;1;X;0;PU;1
84;01;01262;01262_0101;2018;C101;0;X;0;X;X;0;PU;1
84;01;01262;01262_0101;2018;C104;1;X;0;0;X;0;PU;1
84;01;01262;01262_0101;2018;C104;1;X;0;1;X;0;PR;1
84;01;01262;01262_0102;2018;C104;1;X;0;1;X;0;PU;1
84;01;01262;01262_0101;2018;C201;1;0;X;X;X;0;PU;1
84;01;01262;01262_0101;2018;C303;X;1;X;X;0;X;PR;2
84;01;01263;01263;2018;C101;1;X;0;X;X;0;PU;1
84;01;01263;01263;2018;C104;1;X;0;0;X;0;PU;1
84;01;01263;01263;2018;C104;1;X;0;1;X;0;PR;1
84;01;01264;01264;2018;C102;1;X;X;X;X;0;PU;1
84;01;01265;01265;2018;C101;0;X;0;X;X;0;PU;2
84;01;01265;01265;2018;C104;0;X;0;0;X;0;PU;1
84;01;01265;01265;2018;C201;1;0;X;X;X;0;PU;1
84;01;01266;01266;2018;C101;0;X;0;X;X;0;PU;1
84;01;01266;01266;2018;C104;0;X;0;0;X;0;PU;1
84;01;01266;01266;2018;C201;1;0;X;X;X;0;PU;1
84;01;01267;01267;2018;C104;0;X;0;1;X;0;PU;1
84;01;01269;01269;2018;C101;1;X;0;X;X;0;PU;1
84;01;01269;01269;2018;C104;1;X;0;1;X;0;PR;1
84;01;01269;01269;2018;C104;1;X;0;1;X;0;PU;1
84;01;01269;01269;2018;C201;1;0;X;X;X;0;PU;1
84;01;01269;01269;2018;C301;1;1;X;X;0;0;PU;1
84;01;01269;01269;2018;C303;X;1;X;X;0;X;PR;1
84;01;01269;01269;2018;C305;1;1;X;X;X;X;PU;1
84;01;01272;01272;2018;C104;1;X;0;1;X;0;PU;1
84;01;01273;01273;2018;C104;1;X;0;1;X;0;PU;1
84;01;01274;01274;2018;C104;0;X;0;1;X;0;PU;1
84;01;01275;01275;2018;C104;1;X;0;1;X;0;PU;1
84;01;01276;01276;2018;C104;0;X;0;1;X;0;PU;1
84;01;01281;01281;2018;C104;;X;0;1;X;0;PU;1
84;01;01281;01281;2018;C104;0;X;0;1;X;0;PU;1
84;01;01282;01282;2018;C105;0;X;X;0;X;0;PU;1
84;01;01283;01283_0102;2018;C101;1;X;0;X;X;1;PU;2
84;01;01283;01283_0103;2018;C101;1;X;0;X;X;1;PU;1
